Break a leg!,"na. 〈非正式〉祝好运
"
stare sb. in the face, 就在眼前
look ... over,"na. 浏览；检查；察看
"
look over ...,"na. 浏览；检查；察看
"
look ... up,"v. 查找；查阅；探望；看望
"
hunt ... up,"na. 搜索
"
look up ...,"v. 查找；查阅；探望；看望
"
hunt up ...,"na. 搜索
"
look up to sb.,"v. 尊敬；另眼看待；向…一举一动看齐
"
look like ..., 看起来与（某人或某物）相像[相似]; 很可能出现[引起]（某事、做某事）; 伣; 似
make a beeline for ..., <非正>迅速直奔; 径直前往; <口>一直奔向…; 抄近路向…走去
make a break for sth.,"na. 向…急跑
"
make a bundle, 大赚一笔；这些人赚很多钱；大捞一笔钱
make a pile,na. 发财
make a clean breast of sth.,"na. 完全吐露；剖白；完全说出(秘密等)
"
make a clean sweep of sth.,"na. 廓清
"
make a clean sweep, [体]获全胜; 风卷荷叶; 大获全胜; 劫掠一空
make a comeback,卷土重来；东山再起；进行复辟；再度走红
make a dent in sth., 削弱；取得有效进展；前进
make a fast buck,"v. 通常指用不名誉的方法快速赚钱
"
make a quick buck,无
make a federal case out of sth.,vt. 过分强调 ... 和重要性(过分夸大)
make a big deal about sth.,无
make a fuss over ...,"na. 大肆吹捧
"
make a go of it,"na. 干好
"
make a great show of sth.,无
make a hit with ...,vt.受到...的欢迎
make a hit,"na. 很受欢迎
"
make a killing,"v. 〈非正式〉大赚一笔；大捞一票；指突然赚得一大笔钱
"
make a living, 谋生；度日；维持生计
make a long story short,"na. 说得简单些
"
make a mess of sth.,"na. 把…弄糟[弄坏]
"
make a mess, 弄乱；搞成一团糟；搞得乱七八糟
make a mountain out of a molehill,"na. 小题大做
"
make a name for oneself,"na. 成名
"
make a name, 蜚声；成名；出名
make a pass at sb.,[俚语]对(女子)作非礼举动；向(女人)献殷勤，向(女人)作过分亲昵的表示；同已婚(或已订婚)的女人调情；袭击；冲向；做出举动
make a pitch for ...,"na. 为…说项
"
make a pitch, 说好话
make a play for ...,"na. 百般勾引；想方设法引诱
"
make a play,无
make a point,"na. 立论；证明论点；(比赛)得一分；照预想一样使受到感动
"
make a point of doing sth., 强调；决心，坚持；决心做某事
make a practice of sth.,"na. 老是；经常进行…；以…为惯用手段
"
make sth. a practice,无
make a run for it, 逃跑；逃之夭夭；溜掉
make a scene,"na. 吵架
"
create a scene, 制作一个场景的档案；大吵大闹
make allowance for ...,"na. 体谅；留有余地；斟酌；扣除
"
make allowance,"v. 留有余地
"
make an appearance,"na. 出面
"
make an example of sb., 惩一儆百；惩罚；惩罚…以警戒他人
make an exception for sb.,无
make an exception,"un. 破例；不寻常的人；高抬贵手
"
make an impression on sb., 给某人留下印象；给……印象；留下深刻的印象
make an impression, 留下印象；留给她印象；给人留下…的印象
make cracks,无
make cracks about ...,无
make do with ...,"na. 用(某物)设法应付
"
make do,"na. 用(某物)设法应付
"
make ends meet, 使收支相抵；量入为出；收支平衡
make both ends meet,"na. 使收支相抵；量入为出
"
make fun of ...,"na. 嘲弄
"
make fun, 开玩笑；打趣；见了同事打哈哈
make good on sth., 兑现；让……好好表现
make good money,无
make good time,"v. 进行得顺利
"
make hay while the sun is shining,无
make light of sth.,"na. 轻视
"
make little of ...,"v. 不理会
"
make no bones about it, 不加掩饰的发表看法；直截了当地处理问题
make no difference to sb.,"un. 对…无影响
"
make no difference,"un. 在意；没关系；没有差别；无动于衷
"
make no mistake about it, （非正式）不用有任何疑问，完全可以肯定
make no mistake, 别搞错；毫无疑问；别弄错
make nothing of it,无
make oneself at home,"un. 使…团结起来；随便(坐坐)
"
make or break sb.,"na. “make or mar”的变体
"
make-or-break,adj. 不成则败的；孤注一掷的
make points with sb.,无
make points,无
make sense out of ...,无
make short work of sth.,"na. 迅速处理[破坏,消费]；杀死；很快地处理
"
make fast work of sth.,无
make sb. eat crow,无
make sb. look good,无
make ... available to sb.,无
make ... tick,无
make one's blood boil, “火冒三丈”，“怒发冲冠”; 热血沸腾
make one's blood run cold, 害怕得发抖
make one's hair stand on end, 令人发指
make ... up,"na. 弥补；起草；定；签订
"
make up ...,"na. 弥补；起草；定；签订
"
make sb. the scapegoat,无
make sb. the scapegoat for sth.,无
make one's head swim,无
make one's head spin, 晕头转向；眩晕
make one's mind up,无
make up one's mind,"na. 决心 (to do)
"
make one's mouth water,使某人垂涎
make one's position clear,无
make sth. from scratch,无
make it up to sb.,"na. 赎
"
make ... out,"na. 理解；发现；起草；证明
"
make out ...,"na. 理解；发现；起草；证明
"
make something out of nothing,无
make sth. to order,"un. 定做的
"
make the best of sth.,"v. 充分利用
"
make the fur fly,"na. 兴冲冲地干；引起动乱
"
make the feathers fly,"na. 蛮干；引起动乱
"
make the dust fly,"na. 蛮干；引起动乱
"
make the grade,"na. 上陡坡；达到标准；成功
"
make the most of sth.,"na. 充分使用；尽量使好[不好]看；极为重视；尽量称赞[贬损]
"
make tracks for, 追踪；口语
make tracks somewhere,无
make up for lost time, 弥补失去的时间；把耽误的时间夺回来；补回丢失的时间
make up for sth.,"v. 偿还；赔偿
"
make up,"na. 弥补；起草；定；签订
"
make up with sb.,"na. 和…讲和[和解]
"
make use of ...,"na. 使用
"
make waves,"na. 兴风作浪；打乱正常的进程[惯例等]
"
make way for ...,"v. 让路
"
make way,"na. 进步
"
make a check out to sb.,无
make out a check to sb.,无
make a check out,无
make out a check,无
make a day of doing sth.,无
make a day of it, 做了一整天；把整天的时间用于某事上；干上整整一天
make a face at sb.,无
make faces at sb., 对…做鬼脸
make a face,"un. 正视；做鬼脸
"
make faces,"na. 做苦脸；做鬼脸
"
make a fool out of sb.,无
make an ass of sb.,v. 愚弄
make a note of sth.,"v. 记录
"
make a nuisance of oneself,"na. 被人讨厌；捣蛋
"
make a silk purse out of a sow's ear, 把劣材制成美器；把顽劣的人改造为好人；变废为宝
make an appointment with sb.,"v. 与…约定
"
make an appointment,"n. 【医】预约
"
make arrangements for ...,"na. 为…做准备
"
make arrangements, 操办；筹办；安排
make arrangements to do sth.,无
make arrangements with sb.,与某人商定
make away with ...,"na. 用光；浪费；吃掉；拿走
"
make off with ...,"na. 拐走
"
make book on sth.,无
make chin music,无
make eyes at sb.,"un. 盯着某人的眼睛；暗送秋波
"
make eyes, 抛媚眼；飞眼；送秋波
make for,"na. 有利于；对…有益；倾向于；支持
"
make free with ...,"na. 随意使用
"
make free, 自由地做；不会是使免费；使自由
make friends with sb.,"(和某人)交友, 建立友谊"
make friends, 交朋友；交友；结交朋友
make good as sb.,无
make good at sth.,无
make good,"na. 补偿；支付；履行；证明
"
make hamburger out of ...,"na. 把人打得一塌糊涂
"
make mincemeat out of ...,"make mincemeat out of
[美国俚语]揍扁，打烂；彻底击溃"
make it hot for sb.,"na. 使受不了；拼命攻击
"
make it snappy, 快点干；干脆点；乾脆点
make life miserable for sb.,无
make love to sb., 向…表示爱情；爱上；向……示爱
make love,"v. 作爱
"
make one's way through sth.,"vt.挤过,穿过"
make one's way,"na. 前往；发迹
"
make oneself conspicuous,"na. (标新立异)惹人注目
"
make oneself miserable,无
make oneself scarce,"na. 悄悄走[躲]开；退避；溜掉；不露面
"
make ... out,"na. 理解；发现；起草；证明
"
make out,"na. 理解；发现；起草；证明
"
make peace with sb.,"v. 和…和好
"
make peace,"abbr. (=peacemaker)
"
make sth. good,"na. 补偿；支付；履行；证明
"
make sth.,"vt. 使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成
vi. 开始；前进；增大；被制造
n. 制造；构造；性情
"
make sth. of sth.,"na. “make certain”的变体
"
make sth. up out of whole cloth,无
make up sth. out of whole cloth,无
make the bed, 铺床；整理床铺；整理被物
make one's bed,"na. 自作自受
"
make the scene,"na. 在某地露面；参加某项活动
"
make time with sb., <美俚>勾引（异性），与（异性）私通
make time,"na. 急往；腾出时间做(某事)；(以某种速度)进行
"
put an end to sth.,"na. 结束
"
put a stop to sth.,"na. 停止；使…停止
"
put all one's eggs in one basket,"na. 孤注一掷
"
put ideas into one's head,无
put in a good word for sb., 为……说句好话；为…美言几句；为…说好话
put in a good word, 推荐；美言；推荐美言
put in an appearance,"na. 出面
"
put in one's two cents,"v. 发表意见；说得上话；常用于美式英语
"
put in one's two cents worth,"v. 发表意见；说得上话；常用于美式英语
"
put one's two cents in,无
put on,"na. 假话
"
put on airs,"v. 装腔作势；端架子
"
put on an act,"na. 假装；装腔；炫耀自己
"
put on one's thinking cap,"na. 仔细考虑
"
put on weight,"v. 长肉；发胖；发福；体重增加
"
put one in one's place,无
put one's back into sth.,"na. 努力干(某事)
"
put one's back to sth.,无
put one's best foot forward,"na. 〈英〉拼命走；〈美〉逞能；争先快走；全力以赴
"
put one's cards on the table, 摊牌；公布自己的打算；把意图公开
lay one's cards on the table,"na. 摊牌；公开计划
"
put one's finger on sth., 点明；确切地指出；指出问题的症结所在
put one's foot down,"na. 立定脚跟；坚持立场；拿定主张
"
put one's foot down about sth.,无
put one's foot in one's mouth,"un. 朗诵；胡说八道
"
stick one's foot in one's mouth,无
put one's house in order,"na. 整理家务；进行必要的改革
"
put one's nose to the grindstone,埋头苦干；=keep one's (或 someone's) nose to the grindstone
have one's nose to the grindstone,埋头苦干；埋头苦干
get one's nose to the grindstone,无
keep one's nose to the grindstone, 使自己一刻不停地拼命干
hold one's nose to the grindstone,=have one's (或 someone's) nose to the grindstone
put one's oar in,"na. 干预
"
stick one's oar in, 管闲事；干预
put in one's oar,无
put one's shoulder to the wheel,"na. 积极工作；帮助人
"
set one's shoulder to the wheel,"na. 积极工作；帮助人
"
put out some feelers,无
throw out some feelers,无
put sb. down as sb., 看作；视为；估计
put sb. on a pedestal,无
place sb. on a pedestal, 国人捧上神坛
set sb. on a pedestal,无
put sb. on the spot,"na. 决定暗杀(某人)
"
put ... at one's disposal,无
put ... away,"v. 把…收起来；储存
"
put away ...,"v. 把…收起来；储存
"
put ... down,"na. 平定；贬低(的话)；(飞机的)降落
"
put down ...,"na. 平定；贬低(的话)；(飞机的)降落
"
put ... off,"na. 延期；辩解
"
put off ...,"na. 延期；辩解
"
put ... on,"na. 假话
"
put ... on hold,"v. 暂时中止
"
put ... out of one's mind,忘却，把…置于脑后
get ... out of one's mind,暂时把某事忘掉；不去想(某事)
put ... out to pasture,"ph. 放牧（牛羊等）；<口>退休；使……退休
"
put ... to bed,"na. 让(孩子等)睡觉；上版(备印)；〔美俚〕(编辑)清稿(付排)
"
put one's nose out of joint,无
put ... to sleep,"na. 使入睡；哄(孩子)睡；使麻醉；消除
"
send ... to sleep,na. 使入睡；哄(孩子)睡；使麻醉；消除
put sb. through the wringer,"put through the wringer
使受尽折磨；使受尽苦难"
put sb. to the test,"na. 试验
"
put sb. up to sth.,"na. 告诉
"
put sth. forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
put forward sth.,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
put sth. in one's way,无
put sth. in the way of sb.,使(某人)有机会做某事〔得到某物〕
put sth. in the way,无
put sth. in order,"na. 整顿
"
get sth. in order,无
put sth. into practice,"na. 实行
"
put sth. into words, 用语言表达；用语言表达出来
put sth. on paper, 把…写下来
put sth. on the back burner, 先搁置在一边
put sth. on the line, 付款
lay sth. on the line,un. 筹足
put sth. to good use, 施展；发挥；充分加以利用
put sth. to use,"na. 用
"
put sth. together,"na. 编辑；拼拢；比较考虑；使结婚
"
put together sth.,"na. 编辑；拼拢；比较考虑；使结婚
"
put the blame on ...,"v. 嫁祸于
"
put the cart before the horse,"na. 前后倒置；本末倒置
"
have the cart before the horse,无
put the finger on sb.,"na. 向警察局出卖[告密]；向当局指明犯罪罪犯[场所]；指名告发
"
lay the finger on sb.,无
put the heat on sb.,[口语]威逼，(对…)施加压力，强迫(…)付款(或干活)；[美国俚语]见 heat
put the screws on sb., （非正式）给（某人）施加心理压力，强迫（某人）
put the squeeze on sb., （非正式）对…施加压力
put the heat on,[口语]威逼，(对…)施加压力，强迫(…)付款(或干活)；[美国俚语]见 heat
put the screws on, （非正式）给（某人）施加心理压力，强迫（某人）
put the squeeze on, （非正式）对…施加压力
put two and two together,"na. 根据事实推理；推断
"
put one's money where one's mouth is, 以实际行动支持某人的观点
put up a brave front,无
put up a front,"装门面,讲排场,摆阔,打肿脸充胖子"
put up or shut up,"un. (受)骗；拿出真凭实据
"
put up with ...,"na. 忍住
"
put words into one's mouth,"na. 说是某人那样讲过；教某人怎样讲
"
put on the dog,"na. “put on dog”的变体
"
put on the feedbag, <俚>吃饭，开始吃
put one's hand on sth.,"un. 让(某人)替(自己)作主；弄到手
"
put one's hands on sth.,"un. 弄到手；算出来
"
lay one's hand on sth.,无
lay one's hands on sth., 把…弄到手；获得；拥有
set one's hand on sth.,无
set one's hands on sth.,"vt.拥有,获得"
put one's hand to the plow,无
put sb. down for sth., 把列入名单；登记；认为是
put sb. through one's paces,无
put sb. to bed with a shovel, 扶送回家上床；埋葬
put sb. to shame,"na. 给丢脸!
"
put sb. wise to ...,adj. 把告诉某人
put ... across,"na. 使承认；欺骗人；美满完成；堂堂开张
"
get ... across,"na. 使了解；使通过；使人了解；与(人)冲突
"
put ... out,"v. 扑灭；熄灭；放出；伸出
"
put out ...,"v. 扑灭；熄灭；放出；伸出
"
put ... out of the way,na. 除掉(某人)；把(某人)关进牢监
put ... up,"adj. 预先商定的
"
put sth. by,"na. 积蓄；避开(人,质问等)；搁在一边；同“put aside ”
"
lay sth. by,"na. = lay aside.
"
put sth. down to sth., 归因于；说…因而起；归因为
set sth. down to sth.,"v. 归于；认为是由
"
put sth. in,"v. 探进；放进；输入；纳入
"
put in sth.,"v. 探进；放进；输入；纳入
"
put sth. into print,na. 付印
put sth. on the cuff,无
put sth. over,"na. “put across”的变体；(船)渡过去；延期
"
put sth. over on sb.,"put over on
欺骗,占…便宜 [亦作 put one over on]"
put sth. plainly,无
put sth. straight, 纠正
set sth. straight, 失望
put sth. through its paces,无
put sth. to rest, 将这些结束；面对剩余的一切；你所乞求的一切
lay sth. to rest,"na. 使睡；埋葬；安葬；完全消除
"
put that in one's pipe and smoke it,无
put the arm on sb.,vt. 逮捕(强力制止； 向 ... 借钱)
put the bite on sb.,"na. 向…借钱；向…敲竹杠
"
put the touch on sb.,向…借钱(尤指无意归还的)
put the clamps on sb.,[美国俚语]钳住，偷得
put the clamps on,[美国俚语]钳住，偷得
put on the clamps,无
put the kibosh on sth.,"na. 挫败
"
put the skids on sth., 俚语；使赶紧；催促
put the skids on, 俚语；使赶紧；催促
put to it,"na. 折磨；强制
"
be put to it,无
run a fever,"na. 发烧；“run a temperature/fever”的变体
"
run a temperature,"na. “have a temperature”的变体
"
run a risk of sth., 冒……的危险；等等
run the risk of sth.,"v. 冒…的危险
"
take a risk of sth.,冒着…的危险
take the risk of sth.,"un. 冒…的危险
"
run a risk,"v. 冒险
"
run the risk,"v. 冒险
"
run a tight ship, 纪律严明，管理严格；管理得很严格；全面控制
run a taut ship,无
run an errand,"un. 办一件事；办件事
"
go on an errand,"na. 办差事
"
run around like a chicken with its head cut off,无
run in circles, 绕圈跑
run around in circles,"un. 兜圈子；打滚；四处乱窜；忙得团团转
"
run around with sb.,与…一起到处乱跑;与…一起鬼混作乐
run away from ...,"na. 学生从(学校)逃出；水兵从(船里)逃出；放弃(主义等)
"
run away,"na. 私奔；逃；弄不好
"
run counter to sth.,"na. 违反
"
run in the family,"na. (性格特征等)为一家所共有
"
run in the blood,"世代相传,家传,遗传"
run into a stone wall, 遇到困难；碰壁
run into a brick wall,碰壁
run off at the mouth,"na. 喋喋不休
"
run off with ...,na. 继续作用[有效]；说个不停；【印刷】印完；(排印材料)不另行
run out of sth.,"na. 用光…
"
run out,"na. 耗尽；用光；过有效期；失效
"
run over ...,"v. 轧过；碾过；演练；排练
"
run riot,"na. 猎狗认错猎物臭味乱跑；〔转义〕追来追去；越出常轨；放纵自己的想像
"
run wild,"na. 蔓延；狂暴起来；放肆起来；放荡
"
run ... down,"na. 下乡；(钟表等)停止；衰弱；赶上(人,猎物)
"
run down ...,"na. 下乡；(钟表等)停止；衰弱；赶上(人,猎物)
"
run sb. ragged,"na. 筋疲力尽
"
run scared, 战战兢兢；害怕会失败
run short of sth.,"na. 用完；缺乏
"
run short,"na. 用完；缺乏
"
run sth. into the ground,"na. 做得过头；把事情弄糟
"
drive sth. into the ground,无
run after ...,"na. 〈非正式〉追求；追赶；追捕
"
run away with ...,"na. 拐走；带着…逃跑；贸然接受(别人意见等)；消耗(金钱时间等)
"
run away,"na. 私奔；逃；弄不好
"
run for one's life,逃命
run sb. in,"na. 跑进；(火车)进站；流入；注入
"
run in sb.,"na. 跑进；(火车)进站；流入；注入
"
run ... off,"na. 逃走；流出；(火车等)出轨；越轨
"
run off ...,"na. 逃走；流出；(火车等)出轨；越轨
"
run sth. up,"na. 抬高(市价等)；升(旗等)；造；增加(费用,债款等)
"
run up sth.,"na. 抬高(市价等)；升(旗等)；造；增加(费用,债款等)
"
run through sth.,"na. 穿过；匆匆忙忙看一遍；不间断地排练；花光
"
see about sth.,"na. 注意；查看；查询；留意于
"
see eye to eye,"na. 看法一致
"
see eye to eye about sth.,无
see eye to eye on sth.,无
see sb. home,"na. 送(某人)到家
"
see sb. off,"na. 送行；送别；告别；赶走
"
see off sb.,"na. 送行；送别；告别；赶走
"
see sth. through,"na. 看穿；看透；识破；办好某事
"
see stars,"na. 眼里冒金星
"
see things,"na. 发生幻觉；“see/hear things”的变体
"
see the color of one's money,无
see the handwriting on the wall,察觉到一种传统(或制度、生活方式等)行将灭亡
see the writing on the wall, 觉察到不祥之兆；看著墙上的字迹
see the last of ...,"na. 赶走…；和…断绝关系；最后一次看见
"
see the light,"na. 顿悟；领悟；醒悟；明白
"
see the light at the end of the tunnel,看到黑暗尽头的光明，看到曙光
see the sights,"观光,游览"
see through ...,"na. 看穿；看透；识破；办好某事
"
see to ...,"na. 注意；留心；当心；检查
"
see a man about a dog, 有点事（通常用来作为离开或缺席的借口）
see fit to do sth.,无
think fit to do sth.,无
see fit,"na. 觉得…是适当的；“see/think fit”的变体
"
think fit, 宁愿；选择；认为恰当
see no objection to sth.,无
see no objection,无
see one's way clear to do sth.,无
see one's way clear,"na. 前途无阻[顺畅]
"
see red,"na. 勃然大怒
"
see the light of day,"na. “see the light”的变体
"
see the light,"na. 顿悟；领悟；醒悟；明白
"
stand a chance,"na. (很)有成功可能
"
stand a chance of,"un. 想尽办法；可能
"
stand a chance of doing sth.,无
stand behind ...,"na. 后援
"
stand back of ...,无
stand by,"na. 袖手旁观；站在旁边；待机；等待
"
stand by sb.,"na. 袖手旁观；站在旁边；待机；等待
"
stand for sth.,"na. 〈口〉忍耐；忍受；主张；拥护
"
stand in for sb., 取而代之；替代；作…的替身
stand in,"na. 加入；〈口〉使花费
"
stand in one's way,阻碍，妨碍
stand on one's own two feet,"un. 独立；自食其力
"
stand one's ground,"na. 坚守阵地；坚持主张；站稳立场；固守阵地
"
hold one's ground,"na. 坚守阵地；坚持主张；站稳立场；固守阵地
"
stand out,"na. 突出；显著；不参加战争；抵抗到底
"
stand sb. up,"na. 站起来；持久；露头角；〔美俚〕背约
"
stand up sb.,"na. 站起来；持久；露头角；〔美俚〕背约
"
stand up,"na. 站起来；持久；露头角；〔美俚〕背约
"
stand to reason,"na. 有理；合道理
"
stand up and be counted, 勇敢地站出来；公开表明自己的态度；公开表明立场
stand up for ...,"na. 拥护
"
stand up to ...,"na. 抵抗；反抗；反对；经得起
"
stand in awe of ...,"na. 怕
"
stand in awe,"vt.敬畏,对...肃然起敬"
stand on ceremony,"na. 墨守礼法；客气
"
stand over sb.,"na. 密切注意；(工作,讨论等)延期
"
stand sb. in good stead, 对你有好处
stand sb. to a treat,无
stand up with sb.,"na. 和…跳舞；(结婚时)陪侍(新郎新娘)
"
take a back seat to ..., 位于……之后；退居…的次席；面对……退居次要地位
take a back seat,"na. 谦逊；坐下席；谦下
"
take a bath on sth.,无
take a bath,"na. “have a bath”的变体
"
take a bow,"na. (在鼓掌声中)点头答礼；答谢；鞠躬答谢喝彩；〔美国〕值得赞美
"
take a break,"v. 休息一会儿
"
take one's break,无
take a chance,"na. 冒险一试
"
take a risk,"na. 冒险；【保险】承保…的险；承受保险
"
take a crack at sth., 尝试；尝试一下；试一试
take a dim view of sth.,"na. 抱悲观[怀疑]的看法
"
take a fancy to ...,"na. 爱好
"
take a liking to ...,"na. 开始喜欢…
"
take a shine to ...,"na. 喜爱；爱上；看中
"
take a gander at ...,"na. 瞧
"
take a gander,"na. 看一看
"
take a hard line, 采取强硬态度；持强硬态度
take a hard line with sb.,无
take a hint,"na. 接受别人的暗示
"
take a leaf out of one's book,无
take a look at ...,"na. (仔细)看一看
"
have a look at ...,"na. (仔细)看一看
"
take a look,"v. 看看
"
take a new turn,无
take another new turn,无
take a powder,"na. 逃掉；离开
"
take a punch at sb.,挥拳打击
take a stab at sth.,"na. 对某事有企图
"
have a stab at sth.,"na. 试图做某事
"
take a stand,"na. 困守(城池等)；立定脚跟
"
take a stand for sth.,vt.表示赞成
take a try at sth.,无
take a shot at sth.,"na. 抓牢机会；试一试
"
have a try at sth.,"vt.试做,企图支配"
have a shot at sth.,"na. “have a shot for”的变体
"
take a turn for the better,"na. 好转
"
take a turn for the worse,"v. 情况转坏
"
take action against ..., 拿起武器反对；采取行动防止；对…采取措施
take advantage of ...,"na. 乘；利用；欺骗；引诱(女人)
"
take after sb.,"na. 尾随；仿效；像
"
take aim at ...,"na. (对…)瞄准
"
take aim,"na. (对…)瞄准
"
take an interest in sth.,"na. 对…感兴趣
"
take an interest,无
take care of ...,"na. 照看；处理；清除
"
take charge,"na. 掌管；弄糟
"
take charge of ...,"负责,管理"
take exception to sth.,"na. 对…提出异议
"
take exception,"na. 表示异议；有反感
"
take five, 五拍；休息五分钟；休息几分钟
take heart,"na. 鼓起勇气
"
take heed, 留意；注意；听取
take hold of ...,"na. “Catch hold of”的变体
"
get hold of ...,"v. 抓住；捉住
"
take hold,"un. 抓住
"
take issue with sb.,"v. 争论驳斥
"
take issue,"v. 唱反调
"
take it easy on ...,小心谨慎地对待；温和地对待；[口语]少用；省着用
take it or leave it,"adj. 模棱两可或觅取妥协办法的
"
take it slow,无
take kindly to ...,"na. 自然而然地爱上了
"
take leave of one's senses,"na. 精神失常；发疯；发狂
"
take liberties with ...,"na. 跟…无礼；调戏(妇女)；损害；歪曲
"
make free with ...,"na. 随意使用
"
take no stock in sth.,"vt.不相信,不信任"
not take stock in sth.,无
take note of sth.,"na. 注意(到)
"
take note, 注意到；记下；引起注意
take notice of sth.,"v. 注意；理会；留心
"
take notice,"na. 注意；(幼儿)；开始了解事物
"
take off one's hat to sb.,"na. 向…脱帽致敬
"
take off one's hat,无
take one's hat off to sb., 表示尊敬佩服；欣赏或敬佩；向某人致敬
take offense at ..., 发怒
take offense, 见怪；生气；介意
take office,"na. 就职
"
take one at one's word,相信某人的话，听信某人，对某人的话信以为真；按某人的话去做[亦作 take someone at his word]
take one's leave of sb.,(向…)辞行；(向…)告别
take one's leave, 告辞；作别；离开
take leave of sb.,"v. 决别
"
take one's medicine,"na. 吃苦药；受到惩罚；忍气吞声做应做的事；〔俚语〕喝酒
"
take one's own life,"na. 自杀
"
take one's time,"na. 从容
"
take pains to do sth., 努力做某事；费尽苦心做某事；尽力去做
take pains,"na. 费苦心；尽力
"
take place,"na. 发生；举行
"
take root,"na. “strike root”的变体
"
take sick, 生病；得病
take ill, 生病
take sides,"na. 左袒；拥护(某方面)
"
take sb. down a peg or two,灭威风
bring sb. down a peg or two,无
let sb. down a peg or two,无
take sb. down a notch or two,无
take sb. for ...,"na. 认为；当做；弄错
"
take ... away,"adj. 买回去的
"
take away ...,"adj. 买回去的
"
take ... by storm,"na. 袭取
"
take into account ...,"na. 考虑
"
take ... into account,"na. 考虑
"
take ... by surprise,"v. 突然惊吓
"
take ... for granted,"v. 想当然
"
take ... over,"na. 接管；继承
"
take over ...,"na. 接管；继承
"
take ... wrong,无
take one's breath away, 令人咋舌；大为惊讶；目瞪口呆
take sb. to task,"v. 责骂
"
take sb. to the cleaners,"take to the cleaners
[俚语]
(赌博中)赢走(某人)所有的钱，使输得精光；使(某人)破产
强烈谴责(某人)"
take sb. under one's wing,无
take sb. under one's wings,无
take sb. up on sth.,vt. 同意；接受
take up sb. on sth.,vt. 同意；接受
take a load off one's feet,na. 坐下休息
take sth. at face value, 根据外表判断；从表面上看问题；以貌取人
take sth. in stride,un. 发扬光大；大步前进；一步能轻易跳过
take sth. lying down, 甘受；屈服於严苛的对待却不抵抗
take sth. the wrong way,"na. 走错路
"
take sth. amiss,"na. 见怪；生气；误会
"
take sth. on faith, 信以为真；无条件地相信
take sth. on the chin, 忍气吞声
take sth. out on ..., 拿…出气；向别人发泄自己的情绪；对……发泄
take sth. to heart,"v. 非常关心
"
take sth. up,"na. 拿起；举起；拾起；给搭(火车等)
"
take up sth.,"na. 拿起；举起；拾起；给搭(火车等)
"
take sth. up with sb.,"na. 甘受；忍受(虐待等)；采用；遵奉(某说)
"
take up sth. with sb.,"na. 甘受；忍受(虐待等)；采用；遵奉(某说)
"
take sth. upon oneself,"na. 负担；毅然
"
take sth. on oneself, 主动承担；把归咎自己；把归咎自己擅自
take sth. with a grain of salt,不全信；对…采取保留态度
take sth. with a pinch of salt, 将信将疑；不轻信；不大相信
take steps to prevent sth.,无
take steps,"na. 采取措施
"
take stock of sth.,"盘点存货; 检查, 评估"
take stock,"na. 清点存货；清理；审查
"
take the bitter with the sweet, 甜和苦一起吞下；接受顺境和逆境；看到痛苦中的甘甜
take the bull by the horns,"na. 挺身面对危险；(斗牛士)敢抓公牛角；不畏艰险
"
take the cake,"na. 得一等奖；超人一等；赢得奖赏；胜过别人
"
take the edge off sth.,"na. 使受挫折；减弱(胃口)；使钝
"
take the edge off,"na. 使受挫折；减弱(胃口)；使钝
"
take the Fifth, 拒绝回答；无可奉告
take the law into one's own hands,"na. ( = have the law in one's own hands) 随意处罚
"
take the liberty of doing sth.,"na. 冒昧行事
"
take the lid off sth.,"na. 揭露丑事
"
take the stand,"v. 作证
"
take the trouble to do sth.,"na. 不辞…之劳
"
take the trouble, 费力；不谦麻烦；不辞辛劳
take on too much,无
take the wind out of one's sails,先发制人；抢先占上风；(以猝不及防的行动)使人狼狈不堪；夺去某人优势；【航海学】抢他船的风路
take the words out of one's mouth,讲出某人心里要讲的话，抢先讲出某人要讲的话
take time off,"v. 休息
"
take to one's heels,"na. 溜掉
"
take up a collection, 募捐；筹款；募款
take up arms against ..., 拿起武器反对
take up one's time,无
take up room,无
take up space,无
take up time, 占用时间；花时间
take a dig at sb.,无
take digs at sb.,无
take a hand in sth.,"na. 参加
"
have a hand in sth.,"na. 干与
"
take a shot at sth.,"na. 抓牢机会；试一试
"
have a shot at sth.,"na. “have a shot for”的变体
"
take a spill, 出了一点问题；跌倒
have a spill,无
take a walk,"na. 散步
"
take a hike, 是希望别人离开，有点“哪儿凉快去哪儿” 的意味。
take a whack at ...,"na. 试试
"
take a wack at ...,无
have a whack at ...,"na. 试试
"
have a wack at ...,无
take forty winks,"打个盹儿
小睡片刻"
Take it away!,"na. 去干吧
"
take off after ..., 追逐
take out after,"追赶,追捕"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
take off on sth.,无
launch forth on sth.,无
launch forth, 启航
take part in sth.,"na. 参加；贡献
"
take part,"na. 参与；参加
"
take pity on ...,"na. 因可怜…
"
have pity on ...,"na. 因可怜…
"
take sb. for sb.,"na. 认为；当做；弄错
"
take sb. in,"na. 加以考虑；〔美国〕访问；收进；收容
"
take ... apart,"na. 分解；拆分；剖析
"
take apart ...,"na. 分解；拆分；剖析
"
take ... back,"na. 退回；收回(说过的话)；承认…是错的；拿回
"
take back ...,"na. 退回；收回(说过的话)；承认…是错的；拿回
"
